index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110419,2019-10-09,3,10,51.20929941722318,1200,8.046869510959576,8.558718938244736,121.0,11.0,48.0,1052.0,3,7026.0,11.0,2.9,0,1,1707.9419299743809,338,26.5,3.0
110420,2019-10-09,3,11,51.20929941722318,1200,8.335431477880796,7.820037989458753,118.0,6.0,45.0,1148.0,7,7069.0,42.0,8.2,0,0,1697.552694864903,338,26.5,3.0
110421,2019-10-09,3,12,51.20929941722318,1200,8.384347278082808,8.356789669923213,116.0,10.0,43.0,1181.0,12,7231.0,22.0,4.7,0,0,1659.5215046328308,338,26.5,3.0
110422,2019-10-09,4,1,51.20929941722318,1200,7.9865049385539955,7.889084407035514,133.0,9.0,59.0,1135.0,4,7033.0,9.3,1.9,0,0,1706.2420019906156,338,26.5,3.0
110423,2019-10-09,4,2,51.20929941722318,1200,8.046869510959576,8.558718938244736,132.0,5.0,58.0,1127.0,5,7068.0,8.5,1.8,0,0,1697.792869269949,338,26.5,3.0
110424,2019-10-09,4,3,51.20929941722318,1200,8.478244441277663,8.27893600229198,131.0,4.0,57.0,1024.0,9,7169.0,98.0,16.0,0,0,1673.8736225414982,338,26.5,3.0
110425,2019-10-09,4,4,51.20929941722318,1200,7.384610383176974,8.454466361507933,131.0,11.0,57.0,1182.0,7,7085.0,65.0,13.0,0,0,1693.7191249117855,338,26.5,3.0
110426,2019-10-09,4,5,51.20929941722318,1200,8.227375506834035,8.363575702750637,130.0,8.0,56.0,1102.0,3,7009.0,5.6,1.8,0,1,1712.0844628334999,338,26.5,3.0
110427,2019-10-09,4,6,51.20929941722318,1200,8.00836557031292,8.297294370266917,126.0,7.0,52.0,1080.0,10,7260.0,99.0,18.0,0,0,1652.892561983471,338,26.5,3.0
110428,2019-10-09,4,7,51.20929941722318,1200,7.259116128097101,7.820037989458753,125.0,6.0,51.0,1091.0,11,7426.0,84.0,14.0,0,0,1615.9439806086723,338,26.5,3.0
110429,2019-10-09,4,8,51.20929941722318,1200,8.703008637464448,8.735364401103888,124.0,3.0,50.0,1017.0,1,6997.0,1.6,1.2,1,1,1715.0207231670715,338,26.5,3.0
110430,2019-10-09,4,9,51.20929941722318,1200,7.239214973779806,8.724207360800564,119.0,2.0,45.0,1176.0,2,7007.0,11.0,1.5,0,1,1712.5731411445697,338,26.5,3.0
110431,2019-10-09,4,10,51.20929941722318,1200,0.0,0.0,122.61638888121101,4.0,51.20929941722318,1106.368874062333,0,100000.0,26.101661368452852,0.0,0,1,120.0,338,26.5,3.0
110432,2019-10-09,4,11,51.20929941722318,1200,6.63200177739563,8.744647438317532,117.0,1.0,43.0,1054.0,6,7080.0,23.0,4.6,0,0,1694.915254237288,338,26.5,3.0
110433,2019-10-09,4,12,51.20929941722318,1200,6.655440350367647,8.507142855562735,116.0,10.0,42.0,1016.0,8,7110.0,93.0,15.0,0,0,1687.7637130801688,338,26.5,3.0
110434,2019-10-09,5,1,51.20929941722318,1650,7.9865049385539955,7.889084407035514,133.0,12.0,60.0,1028.0,10,10318.0,25.0,6.3,0,0,1599.1471215351812,338,26.5,3.0
110435,2019-10-09,5,2,51.20929941722318,1650,0.0,8.27893600229198,131.0,6.0,58.0,1111.0,6,10145.0,60.0,13.0,0,0,1626.4169541646131,338,26.5,3.0
110436,2019-10-09,5,3,51.20929941722318,1650,7.384610383176974,8.454466361507933,131.0,7.0,58.0,1137.0,3,10124.0,13.0,3.7,0,1,1629.7905966021335,338,26.5,3.0
110437,2019-10-09,5,4,51.20929941722318,1650,8.035602692918582,8.740016691519521,128.0,2.0,55.0,1080.0,8,10193.0,19.0,6.2,0,0,1618.7579711566761,338,26.5,3.0
110438,2019-10-09,5,5,51.20929941722318,1650,8.046869510959576,8.735364401103888,128.0,3.0,55.0,1038.0,11,10351.0,3.0,1.5,0,0,1594.0488841657811,338,26.5,3.0
